apache/spark
apache/flink
apache/hadoop
apache/hadoop-mapreduce
apache/hadoop-common
apache/hadoop-hdfs
apache/ambari
apache/hbase
apache/hive
apache/sqoop
apache/kafka
apache/lucene-solr
apache/mesos
apache/storm
apache/incubator-zeppelin
apache/zookeeper
apache/parquet-cpp
apache/drill
apache/incubator-kudu
apache/incubator-ranger
apache/incubator-myriad
apache/incubator-hawq
apache/incubator-sentry
apache/incubator-geode
apache/knox
apache/pig
apache/accumulo
apache/avro
apache/incubator-madlib
apache/nifi
apache/calcite
apache/falcon
apache/tez
apache/samza
apache/cassandra
apache/couchdb
apache/mahout
apache/bigtop
apache/parquet-mr
apache/giraph
apache/flume
apache/oozie
apache/parquet-format
apache/orc
apache/crunch
apache/ignite
apache/helix
apache/solr
apache/chukwa
apache/incubator-tez
postgres/postgres
elastic/elasticsearch
cloudera/Impala
cloudera/kudu
cloudera/hue
cloudera/search
greenplum-db/gpdb
twitter/mysql
atcurtis/mariadb
percona/percona-server
webscalesql/webscalesql-5.6
mongodb/mongo
antirez/redis
mackyle/sqlite
basho/riak
basho/riak_core
hazelcast/hazelcast
aerospike/aerospike-server
VoltDB/voltdb
h2oai/h2o-2
apache/incubator-apex-core
druid-io/druid
apache/kylin
OpenTSDB/opentsdb
cloudera/ibis
